source	type	name_source	name	description
Greek	Deity			Aphrodite (Ἀφροδίτη, Aphroditē) Goddess of beauty, love, desire, and pleasure. In Hesiod's Theogony (188–206), she was born from sea-foam and Uranus's severed genitals; in Homer's Illiad (5.370–417), she is daughter of Zeus and Dione. She was married to Hephaestus, but bore him no children. She had many lovers, most notably Ares, to whom she bore Harmonia, Phobos, and Deimos. She was also a lover to Adonis and Anchises, to whom she bore Aeneas. She is usually depicted as a naked or semi-nude beautiful woman. Her symbols include myrtle, roses, and the scallop shell. Her sacred animals include doves and sparrows. Her Roman counterpart is Venus.[1]
Greek	Deity			Apollo (Ἀπόλλων, Apóllōn) God of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery. He is the son of Zeus and Leto, and the twin brother of Artemis. Both Apollo and Artemis use a bow and arrow. Apollo is depicted as young, beardless, handsome and athletic. In myth, he can be cruel and destructive, and his love affairs are rarely happy. He is often accompanied by the Muses. His most famous temple is in Delphi, where he established his oracular shrine. His signs and symbols include the laurel wreath, bow and arrow, and lyre. His sacred animals include roe deer, swans, and pythons. Some late Roman and Greek poetry and mythography identifies him as a sun-god, equivalent to Roman Sol and Greek Helios.[2]
Greek	Deity			Ares (Ἄρης, Árēs) God of war, bloodshed, and violence. The son of Zeus and Hera, he was depicted as a beardless youth, either nude with a helmet and spear or sword, or as an armed warrior. Homer portrays him as moody and unreliable, and as being the most unpopular god on earth and Olympus (Iliad 5.890–1). He generally represents the chaos of war in contrast to Athena, a goddess of military strategy and skill. Ares is known for cuckolding his brother Hephaestus, conducting an affair with his wife Aphrodite. His sacred animals include vultures, venomous snakes, dogs, and boars. His Roman counterpart Mars by contrast was regarded as the dignified ancestor of the Roman people.[3]
Greek	Deity			Artemis (Ἄρτεμις, Ártemis) Virgin goddess of the hunt, wilderness, animals, young girls, childbirth, and plague. In later times, Artemis became associated with bows and arrows. She is the daughter of Zeus and Leto, and twin sister of Apollo. In art she is often depicted as a young woman dressed in a short knee-length chiton and equipped with a hunting bow and a quiver of arrows. Her attributes include hunting spears, animal pelts, deer and other wild animals. Her sacred animals include deer, bears, and wild boars. Her Roman counterpart is Diana.[4]
Greek	Deity			Athena (Ἀθηνᾶ, Athēnâ) Goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts. According to most traditions, she was born from Zeus's forehead, fully formed and armored. She is depicted as being crowned with a crested helm, armed with shield and spear, and wearing the aegis over a long dress. Poets describe her as "grey-eyed" or having especially bright, keen eyes. She is a special patron of heroes such as Odysseus. She is the patron of the city Athens (which was named after her) and is attributed to various inventions in arts and literature. Her symbol is the olive tree. She is commonly shown as being accompanied by her sacred animal, the owl. Her Roman counterpart is Minerva.[5]
Greek	Deity			Demeter (Δημήτηρ, Dēmētēr) Goddess of grain, agriculture, harvest, growth, and nourishment. Demeter, whose Roman counterpart is Ceres, is a daughter of Cronus and Rhea, and was swallowed and then regurgitated by her father. She is a sister of Zeus, by whom she bore Persephone, who is also known as Kore, i.e. "the girl." One of the central myths associated with Demeter involves Hades' abduction of Persephone and Demeter's lengthy search for her. Demeter is one of the main deities of the Eleusinian Mysteries, in which the rites seemed to center around Demeter's search for and reunion with her daughter, which symbolized both the rebirth of crops in spring and the rebirth of the initiates after death. She is depicted as a mature woman, often crowned and holding sheafs of wheat and a torch.[6] Her symbols are the cornucopia, wheat-ears, the winged serpent, and the lotus staff. Her sacred animals include pigs and snakes.
Greek	Deity			Dionysus (Διόνυσος, Diónysos)/Bacchus (Βάκχος, Bákkhos) God of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater. He is the twice-born son of Zeus and Semele, in that Zeus snatched him from his mother's womb and stitched Dionysius into his own thigh and carried him until he was ready to be born. In art he is depicted as either an older bearded god (particularly before 430 BC) or an effeminate, long-haired youth (particularly after 430 BC). His attributes include the thyrsus, a drinking cup, the grape vine, and a crown of ivy. He is often in the company of his thiasos, a group of attendants including satyrs, maenads, and his old tutor Silenus. The consort of Dionysus was Ariadne. It was once held that Dionysius was a later addition to the Greek pantheon, but the discovery of Linear B tablets confirm his status as a deity from an early period. Bacchus was another name for him in Greek, and came into common usage among the Romans.[7] His sacred animals include dolphins, serpents, tigers, and donkeys.
Greek	Deity			Hades (ᾍδης, Hádēs)/Pluto (Πλούτων, Ploutōn) King of the underworld and the dead. God of wealth. His consort is Persephone. His attributes are the drinking horn or cornucopia, key, sceptre, and the three-headed dog Cerberus. His sacred animals include the screech owl. He was one of three sons of Cronus and Rhea, and thus sovereign over one of the three realms of the universe, the underworld. As a chthonic god, however, his place among the Olympians is ambiguous. In the mystery religions and Athenian literature, Plouton ("the Rich one") was his preferred name, because of the idea that all riches came from the earth. The term Hades was used in this literature to refer to the underworld itself. The Romans translated Plouton as Dis Pater ("the Rich Father") or Pluto.[8]
Greek	Deity			Hephaestus (Ἥφαιστος, Hḗphaistos) God of fire, metalworking, and crafts. Either the son of Zeus and Hera or Hera alone, he is the smith of the gods and the husband of the adulterous Aphrodite. He was usually depicted as a bearded, crippled man with hammer, tongs, and anvil, and sometimes riding a donkey. His sacred animals include the donkey, the guard dog, and the crane. Among his creations was the armor of Achilles. Hephaestus used the fire of the forge as a creative force, but his Roman counterpart Vulcan was feared for his destructive potential and associated with the volcanic power of the earth.
Greek	Deity			Hera (Ἥρα, Hḗra) Queen of the gods, and goddess of marriage, women, childbirth, heirs, kings, and empires. She is the wife and sister of Zeus, and the daughter of Cronus and Rhea. She was usually depicted as a regal woman in the prime of her life, wearing a diadem and veil and holding a lotus-tipped staff. Although she is the goddess of marriage, Zeus's many infidelities drive her to jealousy and vengefulness. Her sacred animals include the heifer, the peacock, and the cuckoo. Her Roman counterpart is Juno.
Greek	Deity			Hermes (Ἑρμῆς, Hērmēs) God of boundaries, travel, communication, trade, language, and writing. Hermes was also responsible for protecting livestock and presided over the spheres associated with fertility, music, luck, and deception. [9] The son of Zeus and Maia, Hermes is the messenger of the gods, and a psychopomp who leads the souls of the dead into the afterlife. He was depicted either as a handsome and athletic beardless youth, or as an older bearded man. His attributes include the herald's wand or caduceus, winged sandals, and a traveler's cap. His sacred animals include the tortoise. His Roman counterpart is Mercury.
Greek	Deity			Hestia (Ἑστία, Hestía) Virgin goddess of the hearth, home, and chastity. She is a daughter of Rhea and Cronus, and a sister of Zeus. Not often identifiable in Greek art, she appeared as a modestly veiled woman. Her symbols are the hearth and kettle. In some accounts, she gave up her seat as one of the Twelve Olympians in favor of Dionysus, and she plays little role in Greek myths. Her Roman counterpart Vesta, however, was a major deity of the Roman state.
Greek	Deity			Poseidon (Ποσειδῶν, Poseidōn) God of the sea, rivers, floods, droughts, and earthquakes. He is a son of Cronus and Rhea, and the brother of Zeus and Hades. He rules one of the three realms of the universe, as king of the sea and the waters. In art he is depicted as a mature man of sturdy build, often with a luxuriant beard, and holding a trident. His sacred animals include the horse and the dolphin. His wedding with Amphitrite is often presented as a triumphal procession. In some stories he rapes Medusa, leading to her transformation into a hideous Gorgon and also to the birth of their two children, Pegasus and Chrysaor. His Roman counterpart is Neptune.
Greek	Deity			Zeus (Ζεύς, Zeus) King of the gods, ruler of Mount Olympus, and god of the sky, weather, thunder, lightning, law, order, and justice. He is the youngest son of Cronus and Rhea. He overthrew Cronus and gained the sovereignty of heaven for himself. In art he is depicted as a regal, mature man with a sturdy figure and dark beard. His usual attributes are the royal scepter and the lightning bolt. His sacred animals include the eagle and the bull. His Roman counterpart is Jupiter, also known as Jove.
Greek	Gigantes			Alcyoneus (Ἀλκυονεύς), a giant usually considered to be one of the Gigantes, slain by Heracles.
Greek	Gigantes			Chthonius (Χθονιος).
Greek	Gigantes			Damysus (Δάμυσος), the fastest of all the Giants in the Greek mythology.
Greek	Gigantes			Enceladus (Ἐγκέλαδος), typically slain by Athena, said to be buried under Mount Etna in Sicily.
Greek	Gigantes			Mimas (Μίμας), according to Apollodorus, he was killed by Hephaestus, or by others Zeus or Ares.
Greek	Gigantes			Pallas (Πάλλας), according to Apollodorus, he was flayed by Athena, who used his skin as a shield.
Greek	Gigantes			Polybotes (Πολυβώτης), typically slain by Poseidon.
Greek	Gigantes			Porphyrion (Πορφυρίων), one of the leaders of the Gigantes, typically slain by Zeus.
Greek	Gigantes			Thoas/Thoon (Θοων), he was killed by the Moirai.
Greek	Gigantes			Aloadae (Ἀλῳάδαι), twin giants who attempted to climb to Olympus by piling mountains on top of each other.
Greek	Gigantes			Otus or Otos (Ότος)
Greek	Gigantes			Ephialtes (Εφιάλτης)
Greek	Gigantes			Anax (Αναξ) was a giant of the island of Lade near Miletos in Lydia, Anatolia.
Greek	Gigantes			Antaeus (Ἀνταῖος), a Libyan giant who wrestled all visitors to the death until he was slain by Heracles
Greek	Gigantes			Antiphates (Ἀντιφάτης), the king of the man-eating giants known as Laestrygones which were encountered by Odysseus on his travels.
Greek	Gigantes			Argus Panoptes (Ἄργος Πανόπτης), a hundred-eyed giant tasked with guarding over Io
Greek	Gigantes			Asterius (Αστεριος), a Lydian giant.
Greek	Gigantes			Cacus (Κακος), a fire-breathing Latin giant slain by Heracles.
Greek	Gigantes			Cyclopes (Elder), three one-eyed giants who forged the lightning-bolts of Zeus, Trident of Poseidon and Helmet of Hades
Greek	Gigantes			Arges (Ἄργης)
Greek	Gigantes			Brontes (Βρόντης)
Greek	Gigantes			Steropes (Στερόπης)
Greek	Gigantes			Cyclopes (Younger), a tribe of one-eyed, man-eating giants who herded flocks of sheep on the island of Sicily
Greek	Gigantes			Polyphemus (Πολύφημος), a cyclops who briefly captured Odysseus and his men, only to be overcome and blinded by the hero
Greek	Gigantes			The Gegenees (Γηγενέες), a tribe of six-armed giants fought by the Argonauts on Bear Mountain in Mysia
Greek	Gigantes			Geryon (Γηρυων), a three-bodied giant who dwelt on the sunset isle at the ends of the earth. He was slain by Heracles when the hero arrived to fetch the giant's cattle as one of his twelve labours.
Greek	Gigantes			The Hekatonkheires (Ἑκατόγχειρες), or Centimanes (Latin), the Hundred-Handed Ones, giant gods of violent storms and hurricanes. Three sons of Uranus and Gaia, each with their own distinct characters.[11]
Greek	Gigantes			Briareus (Βριάρεως) or Aigaion (Αἰγαίων), The Vigorous
Greek	Gigantes			Cottus (Κόττος), The Furious
Greek	Gigantes			Gyges (Γύγης), The Big-Limbed
Greek	Gigantes			The Laestrygonians (Λαιστρυγόνες), a tribe of man-eating giants encountered by Odysseus on his travels
Greek	Gigantes			Orion (Ὠρίων), a giant huntsman whom Zeus placed among the stars as the constellation of Orion
Greek	Gigantes			Talos (Τάλως), a giant forged from bronze by Hephaestus, and given by Zeus to his lover Europa as her personal protector
Greek	Gigantes			Tityos (Τίτυος), a giant slain by Apollo and Artemis when he attempted to violate their mother Leto.
Greek	Gigantes			Typhon (Τυφῶν), a monstrous immortal storm-giant who attempted to launch an attack on Mt. Olympus but was defeated by the Olympians and imprisoned in the pits of Tartarus
Greek	Spirits			Achlys (Ἀχλύς), spirit of the death-mist, personification of sadness, misery and poison
Greek	Spirits			Adephagia (Ἀδηφαγία), spirit of satiety and gluttony
Greek	Spirits			Adikia (Ἀδικία), spirit of injustice and wrongdoing
Greek	Spirits			Aergia (Ἀεργία), spirit of idleness, laziness, indolence and sloth
Greek	Spirits			Agathodaemon (Ἀγαθοδαίμων), spirit of the vineyards and grainfields. Ensuring good luck, health, and wisdom.
Greek	Spirits			Agon (Ἀγών), spirit of contest, who possessed an altar at Olympia, site of the Olympic Games.
Greek	Spirits			Aidos (Αἰδώς), spirit of modesty, reverence and respect
Greek	Spirits			Aisa (Αἴσα), personification of lot and fate
Greek	Spirits			Alala (Ἀλαλά), spirit of the war cry
Greek	Spirits			Alastor (Ἀλάστωρ), spirit of blood feuds and vengeance
Greek	Spirits			Aletheia (Ἀλήθεια), spirit of truth, truthfulness and sincerity
Greek	Spirits			Algea (Ἄλγεα), spirits of pain and suffering
Greek	Spirits			Achos (Ἄχος) "trouble, distress"
Greek	Spirits			Ania (Ἀνία) "ache, anguish"
Greek	Spirits			Lupe (Λύπη) "pain, grief, sadness"
Greek	Spirits			Alke (Ἀλκή), spirit of prowess and courage
Greek	Spirits			Amechania (Ἀμηχανία), spirit of helplessness and want of means
Greek	Spirits			The Amphilogiai (Ἀμφιλογίαι), spirits of disputes, debate, and contention
Greek	Spirits			Anaideia (Ἀναίδεια), spirit of ruthlessness, shamelessness, and unforgivingness
Greek	Spirits			The Androktasiai (Ἀνδροκτασίαι), spirits of battlefield slaughter
Greek	Spirits			Angelia (Ἀγγελία), spirit of messages, tidings and proclamations
Greek	Spirits			Apate (Ἀπάτη), spirit of deceit, guile, fraud and deception
Greek	Spirits			Apheleia (Ἀφέλεια), spirit of simplicity
Greek	Spirits			Aporia (Ἀπορία), spirit of difficulty, perplexity, powerlessness, and want of means
Greek	Spirits			The Arae (Ἀραί), spirits of curses
Greek	Spirits			Arete (Ἀρετή), spirit of virtue, excellence, goodness, and valour
Greek	Spirits			Atë (Ἄτη), spirit of delusion, infatuation, blind folly, recklessness, and ruin
Greek	Spirits			Bia (Βία "Violence"), the personification of force and raw energy
Greek	Spirits			Caerus (Καιρός), spirit of opportunity
Greek	Spirits			Corus (Κόρος), spirit of surfeit
Greek	Spirits			Deimos (Δεῖμος), spirit of fear, dread, and terror
Greek	Spirits			Dikaiosyne (Δικαιοσύνη), spirit of justice and righteousness
Greek	Spirits			Dike (Δίκη), spirit of justice, fair judgement, and the rights established by custom and law
Greek	Spirits			Dolos (Δόλος), spirit of trickery, cunning deception, craftiness, treachery, and guile
Greek	Spirits			Dysnomia (Δυσνομία), spirit of lawlessness and poor civil constitution
Greek	Spirits			Dyssebeia (Δυσσέβεια), spirit of impiety
Greek	Spirits			Eirene (Εἰρήνη), goddess of peace
Greek	Spirits			Ekecheiria (Ἐκεχειρία), spirit of truce, armistice, and the cessation of all hostilities; honoured at the Olympic Games
Greek	Spirits			Eleos (Ἔλεος), spirit of mercy, pity, and compassion
Greek	Spirits			Elpis (Ἐλπίς), spirit of hope and expectation
Greek	Spirits			Epiphron (Ἐπίφρων), spirit of prudence, shrewdness, thoughtfulness, carefulness, and sagacity
Greek	Spirits			Eris (Ἔρις), spirit of strife, discord, contention, and rivalry
Greek	Spirits			Erotes (ἔρωτες)
Greek	Spirits			Anteros (Ἀντέρως), god of requited love
Greek	Spirits			Eros (Ἔρως), god of love and sexual intercourse
Greek	Spirits			Hedylogos (Ἡδύλογος), god of sweet talk and flattery
Greek	Spirits			Hermaphroditus (Ἑρμαφρόδιτος), god of hermaphrodites, effeminate men and androgyny
Greek	Spirits			Himeros (Ἵμερος), god of sexual desire
Greek	Spirits			Hymen (Ὑμήν) or Hymenaeus (Ὑμεναιος), god of marriage ceremonies, inspiring feasts and song
Greek	Spirits			Pothos (Πόθος), god of sexual longing, yearning, and desire
Greek	Spirits			Eucleia (Εὔκλεια), spirit of good repute and glory
Greek	Spirits			Eulabeia (Εὐλάβεια), spirit of discretion, caution, and circumspection
Greek	Spirits			Eunomia (Εὐνομία), goddess of good order and lawful conduct
Greek	Spirits			Eupheme (Εὐφήμη), spirit of words of good omen, acclamation, praise, applause, and shouts of triumph
Greek	Spirits			Eupraxia (Eὐπραξία), spirit of well-being
Greek	Spirits			Eusebeia (Eὐσέβεια), spirit of piety, loyalty, duty, and filial respect
Greek	Spirits			Euthenia (Εὐθενία), spirit of prosperity, abundance, and plenty
Greek	Spirits			Gelos (Γέλως), spirit of laughter
Greek	Spirits			Geras (Γῆρας), spirit of old age
Greek	Spirits			Harmonia (Ἁρμονία), goddess of harmony and concord
Greek	Spirits			Hebe (Ήβη), goddess of youth
Greek	Spirits			Hedone (Ἡδονή), spirit of pleasure, enjoyment, and delight
Greek	Spirits			Heimarmene (Εἵμαρμένη), personification of share destined by fate
Greek	Spirits			Heracles (Ἡρακλῆς), god of strength
Greek	Spirits			Homados (Ὅμαδος), spirit of the din of battle
Greek	Spirits			Homonoia (Ὁμόνοια), spirit of concord, unanimity, and oneness of mind
Greek	Spirits			Horkos (Ὅρκος), spirit of oaths
Greek	Spirits			Horme (Ὁρμή), spirit of impulse or effort (to do a thing), eagerness, setting oneself in motion, and starting an action
Greek	Spirits			Hybris (Ὕβρις), spirit of outrageous behaviour
Greek	Spirits			Hypnos (Ὕπνος), god of sleep
Greek	Spirits			Ioke (Ἰωκή), spirit of pursuit in battle
Greek	Spirits			Kakia (Kακία), spirit of vice and moral badness
Greek	Spirits			Kalokagathia (Καλοκαγαθία), spirit of nobility
Greek	Spirits			The Keres (Κῆρες), spirit of violent or cruel death
Greek	Spirits			Koalemos (Κοάλεμος), spirit of stupidity and foolishness
Greek	Spirits			Kratos (Κράτος), spirit of strength, might, power, and sovereign rule
Greek	Spirits			Kydoimos (Κυδοιμός), spirit of the din of battle, confusion, uproar, and hubbub
Greek	Spirits			Lethe (Λήθη), spirit of forgetfulness and oblivion, and of the river of the same name
Greek	Spirits			Limos (Λιμός), spirit of hunger and starvation
Greek	Spirits			The Litae (Λιταί), spirits of prayer
Greek	Spirits			Lyssa (Λύσσα), spirit of rage, fury and rabies in animals
Greek	Spirits			The Machai (Μάχαι), spirits of fighting and combat
Greek	Spirits			Mania (Μανία), spirit or spirits of madness, insanity, and frenzy
Greek	Spirits			The Moirai, or "Fates" (Μοίραι)
Greek	Spirits			Clotho (Κλωθώ), the spinner of the life thread
Greek	Spirits			Lachesis (Λάχεσις), the measurer of the life thread
Greek	Spirits			Atropos (Άτροπος), the severer of the life thread
Greek	Spirits			Momus (Μῶμος), spirit of mockery, blame, censure and stinging criticism
Greek	Spirits			Moros (Μόρος), spirit of doom
Greek	Spirits			The Neikea (τὰ Νείκη), spirits of quarrels, feuds and grievances
Greek	Spirits			Nemesis (Νέμεσις), goddess of revenge, balance, righteous indignation, and retribution
Greek	Spirits			Nike (Νίκη), goddess of victory
Greek	Spirits			Nomos (Νόμος), spirit of law
Greek	Spirits			Oizys (Ὀϊζύς), spirit of woe and misery
Greek	Spirits			The Oneiroi (Ὄνειροι), spirits of dreams
Greek	Spirits			Epiales (Ἐπιάλης), spirit of nightmares
Greek	Spirits			Morpheus (Μορφεύς), god of dreams, who takes shape of humans
Greek	Spirits			Phantasos (Φάντασος) spirit of dreams of fantasy, who takes shape of inanimate objects
Greek	Spirits			Phobetor (Φοβήτωρ) or Icelos (Ἴκελος), spirit of nightmares, who takes shape of animals
Greek	Spirits			Palioxis (Παλίωξις), spirit of backrush, flight and retreat from battle
Greek	Spirits			Peitharchia (Πειθαρχία), spirit of discipline
Greek	Spirits			Peitho (Πειθώ), spirit of persuasion and seduction
Greek	Spirits			Penia (Πενία), spirit of poverty and need
Greek	Spirits			Penthus (Πένθος), spirit of grief, mourning, and lamentation
Greek	Spirits			Pepromene (Πεπρωμένη), personification of the destined share, similar to Heimarmene
Greek	Spirits			Pheme (Φήμη), spirit of rumour, report, and gossip
Greek	Spirits			Philophrosyne (Φιλοφροσύνη), spirit of friendliness, kindness, and welcome
Greek	Spirits			Philotes (Φιλότης), spirit of friendship, affection, and sexual intercourse
Greek	Spirits			Phobos (Φόβος), spirit of panic fear, flight, and battlefield rout
Greek	Spirits			The Phonoi (Φόνοι), spirits of murder, killing, and slaughter
Greek	Spirits			Phrike (Φρίκη), spirit of horror and trembling fear
Greek	Spirits			Phthonus (Φθόνος), spirit of envy and jealousy
Greek	Spirits			Pistis (Πίστις), spirit of trust, honesty, and good faith
Greek	Spirits			Poine (Ποίνη), spirit of retribution, vengeance, recompense, punishment, and penalty for the crime of murder and manslaughter
Greek	Spirits			Polemos (Πόλεμος), personification of war
Greek	Spirits			Ponos (Πόνος), spirit of hard labour and toil
Greek	Spirits			Poros (Πόρος), spirit of expediency, the means of accomplishing or providing, contrivance and device
Greek	Spirits			Praxidike (Πραξιδίκη), spirit of exacting justice
Greek	Spirits			Proioxis (Προίωξις), spirit of onrush and battlefield pursuit
Greek	Spirits			Prophasis (Πρόφασις), spirit of excuses and pleas
Greek	Spirits			Ptocheia (Πτωχεία), spirit of beggary
Greek	Spirits			Roma, a female deity who personified the city of Rome
Greek	Spirits			Soter (Σωτήρ), male spirit of safety, preservation, and deliverance from harm
Greek	Spirits			Soteria (Σωτηρία), female personification of safety, preservation, and deliverance from harm
Greek	Spirits			Sophrosyne (Σωφροσύνη), spirit of moderation, self-control, temperance, restraint, and discretion
Greek	Spirits			Techne (Τέχνη), personification of art and skill
Greek	Spirits			Thanatos (Θάνατος), spirit of death and mortality
Greek	Spirits			Thrasos (Θράσος), spirit of boldness
Greek	Spirits			Tyche (Τύχη), goddess of fortune, chance, providence, and fate
Greek	Spirits			Zelos ( Ζῆλος), spirit of eager rivalry, emulation, envy, jealousy, and zeal
Greek	Chthonic deities			Amphiaraus (Ἀμφιάραος), a hero of the war of the Seven Against Thebes who became an oracular spirit of the Underworld after his death
Greek	Chthonic deities			Angelos (Ἄγγελος), a daughter of Zeus and Hera who became an underworld goddess
Greek	Chthonic deities			Askalaphos (Ἀσκάλαφος), the son of Acheron and Orphne who tended the Underworld orchards before being transformed into a screech owl by Demeter
Greek	Chthonic deities			Cerberus (Κέρβερος), the three-headed hound who guarded the gates of Hades
Greek	Chthonic deities			Charon (Χάρων), ferryman of Hades
Greek	Chthonic deities			Cronus (Κρόνος), deposed king of the Titans; after his release from Tartarus he was appointed king of the Island of the Blessed
